x1,x2,x3,x4,x5,x6,x7,x8
90.0,70.0,0.0,80.0,0.0,60.0,5.0,0.0
60.0,30.0,0.0,80.0,0.0,20.0,40.0,0.0
30.0,20.0,0.0,80.0,0.0,40.0,70.0,0.0
20.0,30.0,0.0,70.0,10.0,40.0,50.0,0.0
5.0,20.0,0.0,40.0,30.0,20.0,60.0,0.0
20.0,30.0,0.0,70.0,40.0,20.0,60.0,5.0
75.0,40.0,0.0,85.0,5.0,20.0,15.0,0.0
70.0,50.0,0.0,80.0,0.0,40.0,20.0,0.0
30.0,20.0,0.0,90.0,0.0,20.0,40.0,0.0
70.0,80.0,0.0,90.0,0.0,20.0,30.0,0.0
90.0,40.0,0.0,80.0,0.0,70.0,5.0,0.0
90.0,70.0,0.0,80.0,0.0,40.0,20.0,0.0
90.0,70.0,0.0,80.0,0.0,60.0,0.0,0.0
0.0,10.0,0.0,20.0,0.0,40.0,90.0,0.0
90.0,70.0,0.0,80.0,0.0,40.0,0.0,0.0
75.0,40.0,0.0,70.0,0.0,30.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,80.0,100.0
90.0,75.0,0.0,85.0,0.0,40.0,5.0,0.0
75.0,40.0,0.0,85.0,0.0,30.0,20.0,0.0
75.0,20.0,0.0,60.0,0.0,30.0,40.0,0.0
